Type Object,Operator Code,Category,Name NL,Name FR,Streetname NL,Streetname FR,HouseNumber,PostalCode,Longitude,Latitude,Accessibility
postalpoint,GLS_,BPPE,BST7 Deal,BST7 Deal,CHAUSSEE D'ANVERS,CHAUSSEE D'ANVERS,258,1000,4.3584224,50.8670727,0
postalpoint,GLS_,BPPE,Plantencentrum Van Goidsenhoven,Plantencentrum Van Goidsenhoven,KORTRIJKSEBAAN,KORTRIJKSEBAAN,54,3220,4.7658077,50.9207970,0
postalpoint,GLS_,BPPE,Dokir-Mouraux,Dokir-Mouraux,RUE LEANDRE LEGROS,RUE LEANDRE LEGROS,14,5020,4.8150486,50.4614118,0
postalpoint,GLS_,BPPE,Au Petit Oubli,Au Petit Oubli,RUE A DETTES,RUE A DETTES,50-52,6150,4.2776611,50.3882043,0
postalpoint,GLS_,BPPE,Tabac Shop,Tabac Shop,RUE DE LA RESISTANCE,RUE DE LA RESISTANCE,18 A,4420,5.5202664,50.6414002,0
postalpoint,PSTN,BPPE,Louis Delhaize Wilrijk,Louis Delhaize Wilrijk,Prins Boudewijnlaan,Prins Boudewijnlaan,,2610,4.4243640,51.1760540,0
postalpoint,PSTN,BPPE,Loveleen Dagwinkel,Loveleen Dagwinkel,Eikenstraat,Eikenstraat,,2840,4.4124440,51.1018750,0
mailbox,BPST,PBUS,RB-3900-013,RB-3900-013,A. Lapidestraat,A. Lapidestraat,5,3900,5.4289630,51.2150990,0
mailbox,BPST,PBUS,RB-1040-015,RB-1040-015,Beckersstraat,Rue Beckers,82,1040,4.3836150,50.8280870,0
postalpoint,PSTN,BPPE,Loverix nv,Loverix nv,Wilstraat,Wilstraat,,3700,5.4372399,50.7486659,0
mailbox,BPST,PBUS,RB-4420-016,RB-4420-016,Rue De L'Hôtel Communal,Rue De L'Hôtel Communal,66,4420,5.5390730,50.6320320,0
postalpoint,PSTN,BPPE,L-Shop Librairie,L-Shop Librairie,Heembeeksestraat,Heembeeksestraat,,1120,4.3795713,50.8911599,0
mailbox,BPST,PBUS,RB-7600-002,RB-7600-002,Rue Albert 1er,Rue Albert 1er,49,7600,3.5904830,50.5074510,0
mailbox,BPST,PBUS,RB-4987-017,RB-4987-017,Rahier,Rahier,74,4987,5.7805130,50.3848200,0
mailbox,BPST,PBUS,RB-1200-012,RB-1200-012,Georges Henrilaan,Avenue Georges Henri,166,1200,4.4172170,50.8449990,0
mailbox,BPST,PBUS,RB-2000-026,RB-2000-026,Straatsburgdok Noordkaai,Straatsburgdok Noordkaai,3,2030,4.4194680,51.2426280,0
mailbox,BPST,PBUS,RB-3070-024,RB-3070-024,Dorpsstraat,Dorpsstraat,177,3078,4.5892250,50.8817480,0
mailbox,BPST,PBUS,RB-6800-031,RB-6800-031,Croix Des Fourneaux,Croix Des Fourneaux,27,6800,5.4536850,49.9224400,0
mailbox,BPST,PBUS,RB-2490-012,RB-2490-012,Wezelbaan,Wezelbaan,50,2490,5.1785510,51.1908210,0
mailbox,BPST,PBUS,RB-8890-001,RB-8890-001,Roeselaarsestraat,Roeselaarsestraat,232,8890,3.0775160,50.9132220,0
mailbox,BPST,PBUS,RB-6720-002,RB-6720-002,Rue D'Hoffschmidt,Rue D'Hoffschmidt,125,6720,5.6474460,49.7332960,0
postalpoint,PSTN,BPPE,Lucky Shop,Lucky Shop,Rue de Namur,Rue de Namur,95-1,1400,4.3289970,50.5994520,0
mailbox,BPST,PBUS,RB-2230-014,RB-2230-014,Blaubergsesteenweg,Blaubergsesteenweg,59,2230,4.9130100,51.0463750,0
